CustomerID,TotalSpending,TotalOrders,TotalItems,Cluster
12346.0,77183.6,1,74215,2
12347.0,4310.0,182,2458,0
12348.0,1797.24,31,2341,0
12349.0,1757.55,73,631,0
12350.0,334.4,17,197,0
12352.0,2506.04,85,536,0
12353.0,89.0,4,20,0
12354.0,1079.4,58,530,0
12355.0,459.4,13,240,0
12356.0,2811.43,59,1591,0
12357.0,6207.67,131,2708,0
12358.0,1168.06,19,248,0
12359.0,6372.58,248,1622,3
12360.0,2662.06,129,1165,0
12361.0,189.9,10,91,0
12362.0,5226.23,266,2229,3
12363.0,552.0,23,408,0
12364.0,1313.1,85,1506,0
12365.0,641.38,22,174,0
12367.0,168.9,11,173,0
12370.0,3545.69,167,2353,0
12371.0,1887.96,63,591,0
12372.0,1298.04,52,794,0
12373.0,364.6,14,197,0
12374.0,742.9300000000001,33,342,0
12375.0,457.5,17,178,0
12377.0,1628.12,77,944,0
12378.0,4008.62,219,2529,0
12379.0,852.24,40,407,0
12380.0,2724.81,104,1127,0
12381.0,1845.31,87,808,0
12383.0,1850.56,99,1532,0
12384.0,585.27,27,126,0
12386.0,401.9,10,354,0
12388.0,2780.66,100,1462,0
12390.0,549.84,32,353,0
12391.0,460.89,100,300,0
12393.0,1582.6000000000001,64,816,0
12394.0,1272.48,27,819,0
12395.0,3018.63,156,2118,0
12397.0,2409.9,126,1263,0
12398.0,1635.6599999999999,85,1394,0
12399.0,1108.65,59,1178,0
12401.0,84.3,5,11,0
12402.0,225.6,11,94,0
12403.0,427.7,5,96,0
12405.0,1710.39,54,857,0
12406.0,3415.3,105,1818,0
12407.0,1708.1200000000001,77,1416,0
12408.0,2888.55,105,1409,0
12409.0,11072.67,109,5551,3
12410.0,693.3299999999999,26,211,0
12412.0,1226.88,61,829,0
12413.0,758.1,38,286,0
12414.0,562.41,18,300,0
12415.0,124914.53,714,77374,2
12417.0,3649.1,192,1552,0
12418.0,668.58,34,407,0
12420.0,600.39,29,345,0
12421.0,807.04,45,484,0
12422.0,803.5600000000001,39,370,0
12423.0,1859.31,125,1339,0
12424.0,1760.96,30,740,0
12425.0,777.2,36,496,0
12426.0,582.73,30,258,0
12427.0,825.8,31,533,0
12428.0,7956.46,294,3536,3
12429.0,3750.4,97,1557,0
12430.0,256.4,11,117,0
12431.0,6487.45,235,2906,3
12432.0,5059.32,108,1801,0
12433.0,13375.87,420,11071,3
12434.0,806.14,50,394,0
12435.0,7829.89,36,2055,0
12436.0,509.01,16,211,0
12437.0,4951.41,199,2922,0
12438.0,2906.85,98,1180,0
12441.0,173.55,11,121,0
12442.0,172.06,12,182,0
12444.0,5005.46,176,1153,0
12445.0,133.4,4,62,0
12446.0,1002.3100000000001,57,351,0
12447.0,476.49,26,190,0
12448.0,449.45,22,243,0
12449.0,4067.29,191,1553,0
12450.0,197.88,8,128,0
12451.0,9035.52,354,6575,3
12452.0,430.57,22,185,0
12453.0,707.09,43,473,0
12454.0,3528.34,15,1006,0
12455.0,2466.86,90,2089,0
12456.0,3181.04,125,1633,0
12457.0,2363.23,62,843,0
12458.0,947.4,38,506,0
12461.0,826.88,35,287,0
12462.0,1189.59,62,536,0
12463.0,1344.78,83,776,0
12464.0,1212.05,29,112,0
12465.0,742.1899999999999,47,479,0
12468.0,729.5400000000001,38,366,0
12471.0,19824.05,460,8212,3
12472.0,6572.11,339,4148,3
12473.0,3938.5499999999997,168,2439,0
12474.0,7375.79,424,4847,3
12475.0,723.38,36,535,0
12476.0,6816.42,233,2408,3
12477.0,13219.74,300,3653,3
12478.0,680.99,36,236,0
12479.0,527.2,31,385,0
12480.0,3281.63,154,1707,0
12481.0,5596.32,217,3304,3
12483.0,2484.98,75,1110,0
12484.0,4541.72,346,2191,3
12488.0,1298.66,55,529,0
12489.0,334.93,15,105,0
12490.0,5417.93,245,3064,3
12491.0,460.40000000000003,26,260,0
12492.0,263.21000000000004,20,192,0
12493.0,433.74,22,207,0
12494.0,1246.1000000000001,77,707,0
12497.0,1043.1,14,1236,0
12498.0,403.70000000000005,23,159,0
12500.0,4257.82,61,2678,0
12501.0,2169.39,149,1783,0
12502.0,3723.87,147,820,0
12504.0,482.04999999999995,9,90,0
12506.0,73.5,23,23,0
12507.0,1304.81,21,894,0
12508.0,398.27,69,272,0
12509.0,176.5,7,55,0
12510.0,982.5699999999999,33,353,0
12512.0,138.03,34,99,0
12513.0,612.29,35,462,0
12514.0,1017.68,51,440,0
12515.0,383.7,16,131,0
12516.0,1312.06,26,875,0
12517.0,2502.84,284,1371,0
12518.0,2056.89,124,1318,0
12519.0,340.84,18,183,0
12520.0,2634.26,152,1439,0
12521.0,599.68,38,309,0
12522.0,192.72,12,194,0
12523.0,1789.77,106,865,0
12524.0,4485.72,144,3699,0
12526.0,1316.66,71,632,0
12527.0,348.71000000000004,18,234,0
12528.0,1933.48,92,756,0
12530.0,1662.28,66,913,0
12531.0,125.22,17,45,0
12532.0,349.83000000000004,16,153,0
12534.0,1089.18,63,651,0
12535.0,716.35,34,219,0
12536.0,12601.830000000002,261,2803,3
12538.0,363.95,21,191,0
12539.0,5568.35,273,2067,3
12540.0,13400.24,478,6685,3
12541.0,981.18,52,680,0
12544.0,372.7,19,136,0
12545.0,1000.39,50,523,0
